Employee_ID,Position,Department,Age,Gender,is_active,Education,Education_Field,Environment_Satisfaction,Job_Satisfaction,Marital_Status,Standard_Hours,Hourly_Rate,Monthly_Rate,Monthly_Income,Salary_Scale,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Performance_Scale,Total_Working_Years,Work_Life_Balance,Start_Date,Years_At_Company
1001,Sales Executive,Sales,41,Female,Yes,2,Life Sciences,2,4,Single,0,94,19479,5993,,8,11,3,,8,1,1418804688,0
1002,Research Scientist,Research & Development,49,Male,No,1,Life Sciences,3,2,Married,0,61,24907,5130,,1,23,4,,10,3,1418804688,0
1003,Laboratory Technician,Research & Development,37,Male,Yes,2,Other,4,3,Single,0,92,2396,2090,,6,15,3,,7,3,1418804688,0
1004,Research Scientist,Research & Development,33,Female,No,4,Life Sciences,4,3,Married,0,56,23159,2909,,1,11,3,,8,3,1418804688,0
1005,Laboratory Technician,Research & Development,27,Male,No,1,Medical,1,2,,0,40,16632,3468,,9,12,3,,6,3,,0
1006,Laboratory Technician,Research & Development,32,Male,No,2,Life Sciences,4,4,,0,79,11864,3068,,0,13,3,,8,2,1418804688,0
1007,Laboratory Technician,Research & Development,59,Female,No,3,Medical,3,1,,0,81,9964,2670,,4,20,4,,12,2,1418804688,0
1008,Laboratory Technician,Research & Development,30,Male,No,1,Life Sciences,4,3,,0,67,13335,2693,,1,22,4,,1,3,1418804688,0
1009,Manufacturing Director,Research & Development,38,Male,No,3,Life Sciences,4,3,,0,44,8787,9526,,0,21,4,,10,3,1418804688,0
1010,,Research & Development,36,Male,No,3,Medical,3,3,,0,94,16577,5237,,6,13,3,,17,2,1418804688,0
1011,Laboratory Technician,Research & Development,35,Male,No,3,Medical,1,2,,0,84,16479,2426,,0,13,3,,6,3,0,0
1012,Laboratory Technician,Research & Development,29,Female,No,2,Life Sciences,4,3,,0,49,12682,4193,,0,12,3,,10,3,1418804688,0
1013,Research Scientist,Research & Development,31,Male,No,1,Life Sciences,1,3,,0,31,15170,2911,,1,17,3,,5,2,1418804688,0
1014,Laboratory Technician,Research & Development,34,Male,No,2,Medical,2,4,,0,93,8758,2661,,0,11,3,,3,3,1418804688,0
1015,Laboratory Technician,Research & Development,28,Male,Yes,3,Life Sciences,3,3,,0,50,12947,2028,,5,14,3,,6,3,1418804688,0
1016,Manufacturing Director,Research & Development,29,Female,No,4,Life Sciences,2,1,,0,51,10195,9980,,1,11,3,,10,3,,0
1017,Research Scientist,Research & Development,32,Male,No,2,Life Sciences,1,2,,0,80,15053,3298,,0,12,3,,7,2,1418804688,0
1018,Laboratory Technician,Research & Development,22,Male,No,2,Medical,4,4,,0,96,7324,2935,,1,13,3,,1,2,1418804688,0
1019,Manager,Sales,53,Female,No,4,Life Sciences,1,4,,0,78,22021,15427,,2,16,3,,31,3,1418804688,0
1020,Research Scientist,Research & Development,38,Male,No,3,Life Sciences,4,4,,0,45,4306,3944,,5,11,3,,6,3,1418804688,0
1021,Manufacturing Director,Research & Development,24,Female,No,2,Other,1,3,,0,96,8232,4011,,0,18,3,,5,2,1418804688,0
1022,Sales Representative,Sales,36,Male,Yes,4,Life Sciences,3,1,,0,82,6986,3407,,7,23,4,,10,3,1418804688,0
1023,Research Director,Research & Development,34,Female,No,4,Life Sciences,1,2,,0,53,21293,11994,,0,11,3,,13,3,0,0
1024,Research Scientist,Research & Development,21,Male,No,2,Life Sciences,3,4,,0,96,19281,1232,,1,14,3,,0,3,1418804688,0
1025,Research Scientist,Research & Development,34,Male,Yes,1,Medical,2,1,,0,83,17102,2960,,2,11,3,,8,3,1418804688,0
1026,Manager,Research & Development,53,Female,No,3,Other,3,3,,0,58,10735,19094,,4,11,3,,26,2,,0
1027,,Research & Development,32,Female,Yes,1,Life Sciences,2,1,,0,72,4681,3919,,1,22,4,,10,3,1418804688,0
1028,Sales Executive,Sales,42,Male,No,4,Marketing,3,2,,0,48,21173,6825,,0,11,3,,10,3,1418804688,0
1029,Healthcare Representative,Research & Development,44,Female,No,4,Medical,1,4,,0,42,2094,10248,,3,14,3,,24,3,1418804688,0
1030,Manager,Sales,46,Female,No,4,Marketing,2,1,,0,83,22822,18947,,3,12,3,,22,2,,0
1031,Laboratory Technician,Research & Development,33,Male,No,3,Medical,3,4,,0,78,6670,2496,,4,11,3,,7,3,1418804688,0
1032,Healthcare Representative,Research & Development,44,Male,No,4,Other,4,4,Married,0,41,19121,6465,,2,13,3,,9,4,1418804688,0
1033,Laboratory Technician,Research & Development,30,Male,No,2,Medical,4,3,Single,0,83,16117,2206,,1,13,3,,10,3,1418804688,0
1034,Sales Representative,Sales,39,Male,Yes,3,Technical Degree,4,4,Married,0,56,3335,2086,,3,14,3,,19,4,1418804688,0
1035,Research Scientist,Research & Development,24,Male,Yes,3,Medical,2,4,Married,0,61,3020,2293,,2,16,3,,6,2,1418804688,0
1036,Research Scientist,Research & Development,43,Female,No,2,Medical,4,3,Divorced,0,72,21923,2645,,1,12,3,,6,2,1418804688,0
1037,Sales Representative,Sales,50,Male,Yes,2,Marketing,1,3,Married,0,86,3810,2683,,1,14,3,,3,3,1418804688,0
1038,Sales Representative,Sales,35,Female,No,3,Marketing,4,4,Married,0,97,9687,2014,,1,13,3,,2,3,1418804688,0
1039,Research Scientist,Research & Development,36,Female,No,4,Life Sciences,2,1,Married,0,82,13072,3419,,9,14,3,,6,4,1418804688,0
1040,Sales Executive,Sales,33,Female,No,3,Life Sciences,3,1,Married,0,42,3193,5376,,2,19,3,,10,3,1418804688,0
1041,Laboratory Technician,Research & Development,35,Male,No,2,Other,3,4,Divorced,0,75,10910,1951,,1,12,3,,1,3,1418804688,0
1042,Laboratory Technician,Research & Development,27,Female,No,4,Life Sciences,4,1,Divorced,0,33,19715,2341,,1,13,3,,1,3,1418804688,0
1043,Laboratory Technician,Research & Development,26,Male,Yes,3,Life Sciences,1,3,Single,0,48,10558,2293,,1,12,3,,1,2,1418804688,0
1044,Sales Executive,Sales,27,Male,No,3,Life Sciences,4,3,Single,0,37,2975,8726,,1,15,3,,9,3,1418804688,0
1045,Laboratory Technician,Research & Development,30,Female,No,2,Medical,3,4,Single,0,58,10781,4011,,1,23,4,,12,3,1418804688,0
1046,Research Director,Research & Development,41,Female,Yes,3,Technical Degree,2,3,Married,0,49,16280,19545,,1,12,3,,23,3,1418804688,0
1047,Sales Executive,Sales,34,Male,No,4,Marketing,2,3,Single,0,72,10034,4568,,0,20,4,,10,3,1418804688,0
1048,Research Scientist,Research & Development,37,Male,No,2,Life Sciences,2,2,Married,0,73,10227,3022,,4,21,4,,8,3,1418804688,0
1049,Sales Executive,Sales,46,Male,No,4,Marketing,1,4,Single,0,98,20445,5772,,4,21,4,,14,3,1418804688,0
1050,Laboratory Technician,Research & Development,35,Male,No,1,Life Sciences,4,4,Married,0,36,4892,2269,,1,19,3,,1,3,1418804688,0
1051,Laboratory Technician,Research & Development,48,Male,Yes,2,Life Sciences,1,3,Single,0,98,19294,5381,,9,13,3,,23,3,1418804688,0
1052,Laboratory Technician,Research & Development,28,Male,Yes,4,Technical Degree,3,3,Single,0,50,11179,3441,,1,13,3,,2,2,1418804688,0
1053,Sales Executive,Sales,44,Female,No,5,Marketing,2,1,,0,75,4009,5454,,5,21,4,,9,2,1418804688,0
1054,Healthcare Representative,Research & Development,35,Male,No,2,Medical,3,1,Married,0,79,8302,9884,,2,13,3,,10,3,1418804688,0
1055,Sales Executive,Sales,26,Female,No,3,Marketing,3,4,Married,0,47,21436,4157,,7,19,3,,5,2,1418804688,0
1056,Research Director,Research & Development,33,Female,No,2,Life Sciences,1,4,Single,0,98,15146,13458,,1,12,3,,15,3,1418804688,0
1057,Sales Executive,Sales,35,Male,No,5,Life Sciences,2,1,Married,0,71,11031,9069,,1,22,4,,9,2,1418804688,0
1058,Laboratory Technician,Research & Development,35,Female,No,4,Medical,3,1,Married,0,30,16002,4014,,3,15,3,,4,3,1418804688,0
1059,Laboratory Technician,Research & Development,31,Male,No,4,Life Sciences,4,4,Divorced,0,48,9528,5915,,3,22,4,,10,2,1418804688,0
1060,Manufacturing Director,Research & Development,37,Male,No,4,Life Sciences,1,3,Divorced,0,51,2689,5993,,1,18,3,,7,4,1418804688,0
1061,Manufacturing Director,Research & Development,32,Male,No,3,Medical,1,4,Married,0,33,10877,6162,,1,22,4,,9,3,1418804688,0
1062,,Research & Development,38,Female,No,5,Life Sciences,4,4,Single,0,50,5456,2406,,1,11,3,,10,3,1418804688,0
1063,Research Director,Research & Development,50,Female,No,2,Medical,2,3,Divorced,0,43,16701,18740,,5,12,3,,29,2,1418804688,0
1064,Sales Executive,Sales,59,Female,No,3,Life Sciences,1,1,Single,0,99,2354,7637,,7,11,3,,28,2,1418804688,0
1065,Healthcare Representative,Research & Development,36,Female,No,3,Technical Degree,3,3,Divorced,0,59,8202,10096,,1,13,3,,17,3,1418804688,0
1066,Manager,Research & Development,55,Female,No,3,Medical,4,3,Divorced,0,33,19730,14756,,2,14,3,,21,3,1418804688,0
1067,Manufacturing Director,Research & Development,36,Male,No,3,Life Sciences,2,2,Single,0,95,22656,6499,,1,13,3,,6,3,1418804688,0
1068,Research Scientist,Research & Development,45,Male,No,3,Life Sciences,2,1,Divorced,0,59,18787,9724,,2,17,3,,25,3,1418804688,0
1069,Research Scientist,Research & Development,35,Male,No,3,Medical,2,1,Married,0,79,5868,2194,,4,13,3,,5,2,1418804688,0
1070,Research Scientist,Research & Development,36,Male,Yes,3,Medical,4,3,Married,0,79,21777,3388,,0,17,3,,2,2,1418804688,0
1071,Sales Executive,Sales,59,Female,No,1,Life Sciences,1,3,Single,0,57,24668,5473,,7,11,3,,20,2,1418804688,0
1072,Research Scientist,Research & Development,29,Male,No,3,Life Sciences,3,2,Married,0,76,4956,2703,,0,23,4,,6,3,1418804688,0
1073,Research Scientist,Research & Development,31,Male,No,4,Medical,3,2,Single,0,87,18775,2501,,1,17,3,,1,3,1418804688,0
1074,Research Scientist,Research & Development,32,Male,No,3,Life Sciences,2,2,Married,0,66,7346,6220,,1,17,3,,10,3,1418804688,0
1075,Laboratory Technician,Research & Development,36,Female,No,3,Life Sciences,2,4,Married,0,55,22002,3038,,3,12,3,,5,3,1418804688,0
1076,Manufacturing Director,Research & Development,31,Female,No,4,Life Sciences,3,4,Single,0,61,20682,4424,,1,23,4,,11,3,1418804688,0
1077,Sales Executive,Sales,35,Male,No,4,Marketing,3,1,Single,0,32,23016,4312,,0,14,3,,16,3,1418804688,0
1078,Research Director,Research & Development,45,Male,No,4,Other,4,1,Married,0,52,15067,13245,,4,14,3,,17,4,1418804688,0
1079,Research Director,Research & Development,37,Male,No,4,Medical,1,3,Single,0,30,25258,13664,,4,13,3,,16,4,1418804688,0
1080,Human Resources,Human Resources,46,Male,No,2,Medical,2,2,Divorced,0,80,10425,5021,,8,22,4,,16,3,1418804688,0
1081,Laboratory Technician,Research & Development,30,Male,No,1,Life Sciences,4,4,Married,0,55,15998,5126,,1,12,3,,10,2,1418804688,0
1082,Research Scientist,Research & Development,35,Male,No,3,Medical,2,3,Single,0,30,26278,2859,,1,18,3,,6,3,1418804688,0
1083,,Sales,55,Male,No,2,Life Sciences,1,4,,0,70,18092,10239,,3,14,3,,24,3,0,0
1084,Research Scientist,Research & Development,38,Female,No,3,Medical,2,4,,0,79,15717,5329,,7,12,3,,17,3,1418804688,0
1085,Manufacturing Director,Research & Development,34,Male,No,2,Medical,1,2,,0,94,17736,4325,,1,15,3,,5,3,1418804688,0
1086,Manufacturing Director,Research & Development,56,Male,No,3,Life Sciences,4,4,,0,49,21698,7260,,4,11,3,,37,2,1418804688,0
1087,Sales Representative,Sales,23,Male,No,1,Technical Degree,3,1,,0,62,9518,2322,,3,13,3,,3,3,1418804688,0
1088,Laboratory Technician,Research & Development,51,Male,No,4,Life Sciences,4,4,,0,96,18725,2075,,3,23,4,,10,3,null,0
1089,Healthcare Representative,Research & Development,30,Male,No,3,Life Sciences,3,4,,0,99,15830,4152,,1,19,3,,11,3,1418804688,0
1090,Sales Executive,Sales,46,Male,Yes,2,Medical,3,4,,0,64,13596,9619,,1,16,3,,9,3,1418804688,0
1091,Healthcare Representative,Research & Development,40,Male,No,4,Life Sciences,3,2,,0,78,14115,13503,,1,22,4,,22,2,1418804688,0
1092,Sales Executive,Sales,51,Male,No,4,Marketing,3,4,,0,71,8423,5441,,0,22,4,,11,1,1418804688,0
1093,Sales Executive,Sales,30,Female,No,2,Medical,3,2,,0,63,19760,5209,,1,12,3,,11,2,1418804688,0
1094,Healthcare Representative,Research & Development,46,Male,No,3,Medical,3,1,,0,40,3142,10673,,2,13,3,,21,2,1418804688,0
1095,Sales Executive,Sales,32,Male,No,4,Medical,2,3,,0,87,24301,5010,,1,16,3,,12,3,1418804688,0
1096,Research Director,Research & Development,54,Female,No,4,Technical Degree,1,3,,0,60,24001,13549,,9,12,3,,16,1,1418804688,0
1097,Sales Executive,Sales,24,Female,No,2,Other,1,3,,0,33,17519,4999,,0,21,4,,4,2,null,0
1098,Sales Executive,Sales,28,Male,No,3,Medical,2,3,,0,43,8863,4221,,1,15,3,,5,4,1418804688,0
1099,Sales Executive,Sales,58,Male,No,4,Medical,4,3,,0,37,24409,13872,,0,13,3,,38,2,1418804688,0
1100,Laboratory Technician,Research & Development,44,Male,No,3,Medical,2,2,,0,67,25043,2042,,4,12,3,,17,4,1418804688,0
1101,Human Resources,Human Resources,37,Male,Yes,4,Human Resources,3,1,,0,63,23648,2073,,4,22,4,,7,3,1418804688,0
1102,Research Scientist,Research & Development,32,Male,No,1,Life Sciences,4,1,,0,71,15178,2956,,1,13,3,,1,3,1418804688,0
1103,Laboratory Technician,Research & Development,20,Female,Yes,3,Life Sciences,4,4,,0,66,19783,2926,,1,18,3,,1,3,1418804688,0
1104,Research Scientist,Research & Development,34,Female,No,4,Other,1,3,,0,41,12482,4809,,1,14,3,,16,3,1418804688,0
1105,Healthcare Representative,Research & Development,37,Male,No,2,Life Sciences,3,4,,0,100,15850,5163,,5,14,3,,17,4,1418804688,0
1106,Manager,Human Resources,59,Female,No,4,Human Resources,3,4,,0,32,21922,18844,,9,21,4,,30,3,1418804688,0
1107,Research Director,Research & Development,50,Female,No,3,Life Sciences,1,2,,0,73,9755,18172,,3,19,3,,28,2,1418804688,0
1108,Sales Executive,Sales,25,Male,Yes,3,Marketing,3,3,,0,46,26959,5744,,1,11,3,,6,3,1418804688,0
1109,Research Scientist,Research & Development,25,Male,No,1,Medical,4,4,,0,64,26897,2889,,1,11,3,,2,3,1418804688,0
1110,Laboratory Technician,Research & Development,22,Female,No,3,Medical,2,4,,0,59,23785,2871,,1,15,3,,1,3,1418804688,0
1111,Healthcare Representative,Research & Development,51,Female,No,4,Medical,1,1,,0,30,25796,7484,,3,20,4,,23,2,1418804688,0
1112,Laboratory Technician,Research & Development,34,Male,Yes,3,Life Sciences,1,3,,0,66,22887,6074,,1,24,4,,9,3,0,0
1113,Manager,Human Resources,54,Female,No,3,Human Resources,4,4,,0,30,13871,17328,,2,12,3,,23,3,1418804688,0
1114,Laboratory Technician,Research & Development,24,Male,No,1,Life Sciences,2,3,,0,52,13257,2774,,0,12,3,,6,3,1418804688,0
1115,Research Scientist,Research & Development,34,Female,No,4,Life Sciences,3,2,,0,45,15000,4505,,6,15,3,,12,3,1418804688,0
1116,Sales Executive,Sales,37,Male,No,3,Life Sciences,3,4,,0,87,14506,7428,,2,12,3,,12,3,1418804688,0
1117,Manager,Research & Development,34,Female,No,3,Medical,3,1,,0,45,5615,11631,,2,12,3,,14,3,1418804688,0
1118,Sales Executive,Sales,36,Female,No,2,Technical Degree,2,4,,0,92,22952,9738,,0,14,3,,10,3,1418804688,0
1119,Laboratory Technician,Research & Development,36,Female,No,2,Life Sciences,1,4,,0,39,2561,2835,,5,22,4,,7,3,1418804688,0
1120,Manager,Sales,43,Male,No,2,Life Sciences,3,4,,0,92,19494,16959,,1,12,3,,25,4,1418804688,0
1121,Research Scientist,Research & Development,30,Male,No,3,Life Sciences,1,3,,0,96,22310,2613,,1,25,4,,10,2,1418804688,0
1122,Sales Executive,Sales,33,Male,No,2,Marketing,3,2,,0,95,15480,6146,,0,13,3,,8,4,1418804688,0
1123,Research Scientist,Research & Development,56,Female,Yes,4,Life Sciences,2,2,,0,72,4510,4963,,9,18,3,,7,3,1418804688,0
1124,Research Director,Research & Development,51,Male,No,3,Life Sciences,1,3,,0,51,6462,19537,,7,13,3,,23,3,1418804688,0
1125,Sales Executive,Sales,31,Male,Yes,4,Life Sciences,2,3,,0,76,20739,6172,,4,18,3,,12,2,1418804688,0
1126,Research Scientist,Research & Development,26,Female,No,3,Other,3,2,,0,46,23300,2368,,1,19,3,,5,2,1418804688,0
1127,Healthcare Representative,Research & Development,58,Female,Yes,4,Medical,4,4,,0,94,3465,10312,,1,12,3,,40,2,1418804688,0
1128,Sales Representative,Sales,19,Male,Yes,1,Marketing,4,3,,0,50,26820,1675,,1,19,3,,0,2,1418804688,0
1129,Laboratory Technician,Research & Development,22,Male,No,1,Technical Degree,3,4,,0,100,19299,2523,,0,14,3,,3,3,1418804688,0
1130,Manufacturing Director,Research & Development,49,Female,No,4,Medical,3,1,,0,96,5549,6567,,1,14,3,,16,2,1418804688,0
1131,Research Scientist,Research & Development,43,Female,No,3,Medical,2,3,,0,72,16090,4739,,4,12,3,,18,3,1418804688,0
1132,Sales Executive,Sales,50,Female,No,3,Marketing,3,4,,0,77,6645,9208,,4,11,3,,16,3,1418804688,0
